Cod. Disciplina,Nome Disciplina,Curso,CH,Horarios
GSI002,Introdução à Programação de Computadores,Sistemas de Informação,6,"Segunda-feira 20h:50, Segunda-feira 21h:40, Quarta-feira 19h:00, Quarta-feira 19h:50, Quarta-feira 20h:50, Quarta-feira 21h:40"
GSI002,Introdução à Programação de Computadores,Sistemas de Informação,4,"Segunda-feira 20h:50, Segunda-feira 21h:40, Quinta-feira 19h:00, Quinta-feira 19h:50"
GSI003,Introdução aos Sistemas de Informação,Sistemas de Informação,4,"Quinta-feira 20h:50, Quinta-feira 21h:40, Sexta-feira 20h:50, Sexta-feira 21h:40"
GSI004,Programação Funcional,Sistemas de Informação,6,"Terça-feira 19h:00, Terça-feira 19h:50, Quarta-feira 19h:00, Quarta-feira 19h:50, Quarta-feira 20h:50, Quarta-feira 21h:40"
GSI005,Lógica para Computação,Sistemas de Informação,4,"Quinta-feira 19h:00, Quinta-feira 19h:50, Sexta-feira 19h:00, Sexta-feira 19h:50"
GSI005,Lógica para Computação,Sistemas de Informação,4,"Terça-feira 19h:00, Terça-feira 19h:50, Quarta-feira 19h:00, Quarta-feira 19h:50"
GSI006,Estrutura de Dados 1,Sistemas de Informação,8,"Segunda-feira 20h:50, Segunda-feira 21h:40, Terça-feira 19h:00, Terça-feira 19h:50, Terça-feira 20h:50, Terça-feira 21h:40, Quinta-feira 20h:50, Quinta-feira 21h:40"
GSI008,Sistemas Digitais,Sistemas de Informação,6,"Segunda-feira 19h:00, Segunda-feira 19h:50, Terça-feira 19h:00, Terça-feira 19h:50, Terça-feira 20h:50, Terça-feira 21h:40"
GSI009,Profissão em Sistemas de Informação,Sistemas de Informação,2,"Quarta-feira 20h:50, Quarta-feira 21h:40"
GSI010,Programação Lógica,Sistemas de Informação,4,"Quarta-feira 19h:00, Quarta-feira 19h:50, Sexta-feira 19h:00, Sexta-feira 19h:50"
GSI011,Estrutura de Dados 2,Sistemas de Informação,4,"Terça-feira 19h:00, Terça-feira 19h:50, Sexta-feira 20h:50, Sexta-feira 21h:40"
GSI013,Arquitetura e Organização de Computadores,Sistemas de Informação,4,"Segunda-feira 20h:50, Segunda-feira 21h:40, Quinta-feira 19h:00, Quinta-feira 19h:50"
GSI015,Programação Orientada a Objetos 1,Sistemas de Informação,4,"Segunda-feira 19h:00, Segunda-feira 19h:50, Quarta-feira 19h:00, Quarta-feira 19h:50"
GSI016,Bancos de Dados 1,Sistemas de Informação,4,"Segunda-feira 19h:00, Segunda-feira 19h:50, Terça-feira 20h:50, Terça-feira 21h:40"
GSI018,Sistemas Operacionais,Sistemas de Informação,4,"Segunda-feira 20h:50, Segunda-feira 21h:40, Terça-feira 19h:00, Terça-feira 19h:50"
GSI019,Programação para Internet,Sistemas de Informação,4,"Quarta-feira 19h:00, Quarta-feira 19h:50, Quinta-feira 20h:50, Quinta-feira 21h:40"
GSI020,Programação Orientada a Objetos 2,Sistemas de Informação,4,"Quinta-feira 19h:00, Quinta-feira 19h:50, Sexta-feira 19h:00, Sexta-feira 19h:50"
GSI021,Bancos de Dados 2,Sistemas de Informação,4,"Terça-feira 20h:50, Terça-feira 21h:40, Quarta-feira 19h:00, Quarta-feira 19h:50"
GSI023,Redes de Computadores,Sistemas de Informação,4,"Segunda-feira 19h:00, Segunda-feira 19h:50, Quarta-feira 20h:50, Quarta-feira 21h:40"
GSI024,Organização e Recuperação da Informação,Sistemas de Informação,4,"Terça-feira 19h:00, Terça-feira 19h:50, Quinta-feira 20h:50, Quinta-feira 21h:40"
GSI025,Modelagem de Software,Sistemas de Informação,4,"Segunda-feira 20h:50, Segunda-feira 21h:40, Quinta-feira 19h:00, Quinta-feira 19h:50"
GSI027,Otimização,Sistemas de Informação,4,"Segunda-feira 19h:00, Segunda-feira 19h:50, Terça-feira 20h:50, Terça-feira 21h:40"
GSI028,Sistemas Distribuídos,Sistemas de Informação,4,"Segunda-feira 20h:50, Segunda-feira 21h:40, Quarta-feira 19h:00, Quarta-feira 19h:50"
GSI030,Engenharia de Software,Sistemas de Informação,4,"Terça-feira 19h:00, Terça-feira 19h:50, Quarta-feira 20h:50, Quarta-feira 21h:40"
GSI033,Gerência de Projetos de Tecnologia da Informação,Sistemas de Informação,4,"Terça-feira 20h:50, Terça-feira 21h:40, Quarta-feira 19h:00, Quarta-feira 19h:50"
GSI034,Projeto e Desenvolvimento de Sistemas de Informação 1,Sistemas de Informação,4,"Segunda-feira 19h:00, Segunda-feira 19h:50, Quinta-feira 19h:00, Quinta-feira 19h:50"
GSI035,Auditoria e Segurança da Informação,Sistemas de Informação,4,"Terça-feira 20h:50, Terça-feira 21h:40, Quarta-feira 19h:00, Quarta-feira 19h:50"
GSI037,Interação Humano-Computador,Sistemas de Informação,4,"Terça-feira 19h:00, Terça-feira 19h:50, Quarta-feira 20h:50, Quarta-feira 21h:40"
GSI038,Projeto e Desenvolvimento de Sistemas de Informação 2,Sistemas de Informação,4,"Segunda-feira 19h:00, Segunda-feira 19h:50, Segunda-feira 20h:50, Segunda-feira 21h:40"
GSI042,Bioinformática,Sistemas de Informação,4,"Quinta-feira 19h:00, Quinta-feira 19h:50, Sábado 09h:50, Sábado 10h:40"
GSI079,Tópicos Especiais em Algoritmos,Sistemas de Informação,4,"Quinta-feira 20h:50, Quinta-feira 21h:40, Sábado 07h:10, Sábado 08h:00"
PGC101,Análise de Algoritmos,Mestrado/Doutorado em Computação,4,"Quarta-feira 19h:00, Quarta-feira 19h:50, Quarta-feira 20h:50, Quarta-feira 21h:40"
